"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197"
17,15,15,22,25,4,4,17,11,16,0,14,7,0,11,35,20,14,0,0,10,7,5,9,10,9,10,7,5,7,8,0,10,5,9,6,0,0,6,20,12,8,13,0,5,10,7,12,13,8,14,18,17,13,10,28,14,10,8,13,13,16,12,14,13,5,12,12,3,17,11,14,1,0,0,14,10,18,9,8,0,16,3,0,0,0,0,0,0,0,0,24,15,12,13,0,11,15,14,6,0,0,0,0,0,0,0,0,0,0,24,20,17,14,7,12,10,14,7,15,17,7,18,13,6,9,20,17,11,12,19,10,12,11,17,7,11,9,16,12,15,13,24,16,14,13,16,18,18,12,17,11,12,7,9,17,8,13,25,10,19,16,15,12,11,13,15,21,19,14,15,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,24,17,14,19,13
8,10,14,10,15,11,8,13,5,12,17,14,17,14,16,9,12,10,3,0,0,3,4,5,18,5,10,6,15,7,0,24,4,7,8,10,4,8,34,33,6,21,18,20,12,37,21,9,12,21,10,6,11,13,7,2,12,8,6,8,22,12,14,6,1,0,0,0,6,0,0,5,10,2,7,4,10,3,9,5,6,7,13,29,30,20,9,13,3,30,5,9,6,26,12,15,14,6,8,8,24,14,11,8,19,13,8,5,12,16,17,0,0,0,0,0,0,0,0,0,0,12,7,14,11,8,6,6,4,7,1,0,11,2,1,5,7,6,10,14,17,8,6,6,8,11,9,11,5,20,17,20,16,12,11,14,6,11,11,12,8,4,34,16,12,25,17,12,14,8,5,15,6,6,17,14,9,10,27,10,8,44,0,0,0,0,0,0,0,11,11,10,13,7,9,9,2
20,25,37,23,19,23,25,40,19,27,13,18,16,22,17,24,20,14,15,11,0,23,0,20,11,12,18,13,17,12,20,19,9,0,16,13,14,0,17,19,17,58,36,26,39,22,27,24,19,15,24,16,15,10,11,15,11,22,19,12,37,11,19,NA,13,20,24,57,0,0,27,21,22,12,10,10,16,31,11,33,30,8,32,20,30,17,27,21,21,9,18,21,27,16,27,20,27,18,26,26,13,28,27,44,16,21,17,25,12,17,18,22,27,16,29,0,0,0,14,28,20,13,21,14,19,23,23,20,27,27,17,18,41,21,23,18,24,11,19,39,11,15,19,0,0,17,12,9,16,17,25,15,17,8,21,17,14,15,14,18,21,15,17,19,15,17,22,17,16,12,22,9,0,0,0,0,0,17,24,25,34,29,0,9,16,25,22,28,10,21,26,17,23,13,29,10,19
3,4,7,11,2,2,6,8,5,6,4,7,9,2,17,4,4,6,10,7,14,9,4,10,11,6,9,21,5,8,14,4,6,14,10,7,13,3,6,5,4,11,7,9,4,3,4,5,3,10,5,4,3,3,4,11,4,4,3,11,4,15,4,4,4,4,8,2,6,8,4,5,6,6,4,6,4,8,5,6,4,8,5,6,8,6,4,6,9,5,6,11,8,4,5,10,5,8,6,6,6,14,4,8,8,7,5,3,5,6,2,4,4,8,10,10,7,8,7,4,4,7,6,6,5,2,5,4,7,8,8,3,3,5,6,3,2,5,8,9,1,4,4,3,2,3,8,5,7,4,4,9,12,6,6,6,4,4,8,9,4,4,8,6,8,4,3,4,8,10,4,4,6,8,2,4,4,4,4,4,8,6,3,8,6,14,8,4,4,4,6,6,3,2,4,6,7
15,15,10,10,2,5,10,11,10,10,15,10,15,0,10,15,10,0,10,0,0,26,15,10,11,12,10,7,3,0,0,0,0,0,0,0,0,0,12,7,7,4,10,0,0,9,5,0,0,10,5,10,0,11,9,9,0,5,5,0,7,0,8,0,0,10,0,0,8,5,7,8,10,8,8,0,6,7,0,10,0,12,7,11,4,11,12,8,8,7,9,14,15,15,12,16,10,3,5,10,8,7,9,0,18,12,14,22,26,14,15,0,0,0,0,0,0,0,16,13,9,8,10,9,14,9,12,14,9,10,11,11,14,9,12,9,0,0,12,12,29,28,17,8,11,12,12,14,14,16,0,11,9,0,11,8,24,10,8,14,12,14,15,11,0,0,18,13,10,17,9,9,12,10,8,8,5,0,0,0,0,0,0,0,0,0,0,14,12,8,14,13,9,7,11,11,5
18,12,11,11,13,23,12,22,13,12,12,14,16,11,15,13,12,13,8,11,11,14,10,8,10,11,13,8,9,7,11,7,11,8,7,9,6,8,11,8,11,13,13,12,8,12,9,13,8,18,12,9,8,11,9,15,13,7,8,8,10,7,17,9,9,7,17,7,7,9,9,10,11,6,8,8,7,8,5,8,6,9,6,10,8,11,9,12,9,11,10,10,7,8,9,11,11,15,8,8,9,6,7,9,9,5,8,0,0,10,12,10,9,9,7,5,7,10,9,9,10,6,9,8,6,8,8,13,11,10,10,8,7,8,6,13,8,4,7,10,9,9,6,10,5,6,9,9,9,12,8,8,13,6,7,6,9,8,11,9,9,7,12,7,14,5,8,7,12,6,12,4,8,10,0,0,0,0,6,7,7,8,8,10,10,9,9,9,4,9,13,7,9,6,6,7,10
5,8,6,3,0,3,5,10,2,4,7,12,19,8,5,2,24,4,4,10,11,0,9,5,5,15,11,5,13,0,0,9,10,5,6,7,9,4,10,8,19,3,4,3,0,6,8,4,0,1,8,8,11,13,5,9,0,0,0,0,0,11,7,5,3,2,3,3,5,6,7,2,4,2,3,3,2,6,3,2,5,4,3,5,0,3,3,6,1,1,1,8,5,9,9,8,12,18,9,9,6,4,11,11,8,9,5,9,2,3,4,13,25,4,0,7,17,3,3,3,5,5,3,2,1,3,1,0,0,7,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,4,4,2,2,2,3,2,3,3,3,0,2,3,2,4,0,3,2,4,2,0,0,11,1,5,4,6,3,2,4,3,3,2,4,4,4,2
8,9,17,14,38,6,16,17,21,12,33,8,7,18,12,8,9,11,4,11,6,3,4,13,9,4,3,7,8,2,7,10,9,10,12,11,13,10,5,29,12,10,6,3,2,3,8,16,11,22,14,9,12,36,12,10,9,9,5,9,11,12,12,8,5,8,16,16,22,4,4,5,7,10,20,18,11,6,3,3,4,5,6,10,28,15,5,11,6,5,4,5,10,7,63,6,11,9,10,17,2,5,5,6,15,5,5,9,8,7,8,4,8,5,8,7,3,5,3,3,3,4,4,5,4,2,3,4,8,3,25,8,5,4,5,6,3,6,3,3,2,3,4,1,3,1,6,3,1,2,6,21,4,4,2,3,2,2,2,3,5,3,5,5,5,7,5,2,3,6,4,4,6,3,3,7,3,7,3,3,5,6,3,3,5,3,2,4,5,6,5,1,5,5,3,2,4
42,27,32,20,16,20,14,21,21,24,24,47,18,20,26,20,13,12,19,32,19,38,17,29,20,13,23,33,18,15,18,40,12,17,15,17,11,8,17,49,42,29,14,12,15,31,35,29,26,11,22,29,21,16,30,35,28,27,27,25,31,26,20,22,29,33,28,29,24,19,26,31,22,23,33,23,23,26,24,32,29,39,31,31,32,20,28,26,46,26,20,26,16,30,21,25,27,28,42,17,18,20,26,23,25,30,29,31,29,24,33,19,50,38,24,23,24,17,17,21,15,20,30,31,25,29,18,34,27,18,36,20,19,24,36,39,29,25,32,26,20,26,19,32,20,44,18,28,12,29,21,25,42,23,19,21,22,26,23,44,34,20,63,24,54,28,21,40,24,29,22,28,37,30,39,26,30,38,20,32,25,38,13,27,22,15,19,21,16,16,8,16,19,22,25,23,32
16,20,14,16,14,15,18,15,18,18,15,18,18,16,11,20,17,17,15,12,12,12,12,10,16,12,19,12,14,17,17,19,15,16,15,15,18,14,11,18,10,11,15,15,0,14,13,17,16,18,14,17,18,10,15,16,13,14,15,20,13,13,14,16,14,13,17,15,14,13,12,16,15,12,13,8,13,15,11,13,14,14,11,11,9,10,13,7,7,7,9,5,8,8,8,10,9,6,8,7,7,10,10,9,8,9,9,8,0,8,7,6,8,5,0,0,8,7,7,5,7,6,3,7,6,6,5,5,7,0,0,0,0,0,0,0,0,0,0,5,7,7,6,5,8,4,10,6,6,6,6,6,7,6,7,7,11,8,9,7,6,0,0,0,0,0,2,4,5,6,4,6,6,5,5,5,5,5,6,5,0,0,0,0,0,3,8,5,7,8,5,5,5,6,6,5,9
